2024/09/20 EARTHCARE
GMT	SUBLAT[N+]	SUBLON[W+]	HEADING
05:21:12	-4.8058	49.4472	10.5586
05:21:17	-4.4821	49.5077	10.5570
05:21:22	-4.1584	49.5682	10.5551
05:21:27	-3.8346	49.6287	10.5536
05:21:32	-3.5109	49.6891	10.5519
05:21:37	-3.1871	49.7495	10.5508
05:21:42	-2.8634	49.8099	10.5491
05:21:47	-2.5396	49.8702	10.5482
05:21:52	-2.2158	49.9306	10.5476
05:21:57	-1.8921	49.9909	10.5461
05:22:02	-1.5683	50.0512	10.5459
05:22:07	-1.2445	50.1115	10.5454
05:22:12	-0.9207	50.1718	10.5453
05:22:17	-0.5969	50.2321	10.5449
05:22:22	-0.2731	50.2924	10.5450
05:22:27	0.0507	50.3526	10.5449
05:22:32	0.3746	50.4129	10.5446
05:22:37	0.6984	50.4732	10.5449
05:22:42	1.0222	50.5335	10.5446
05:22:47	1.3461	50.5938	10.5457
05:22:52	1.6699	50.6541	10.5457
05:22:57	1.9937	50.7144	10.5472
05:23:02	2.3176	50.7747	10.5475
05:23:07	2.6414	50.8351	10.5481
05:23:12	2.9653	50.8955	10.5486
05:23:17	3.2891	50.9559	10.5495
05:23:22	3.6130	51.0163	10.5495
05:23:27	3.9368	51.0767	10.5507
05:23:32	4.2606	51.1372	10.5524
05:23:37	4.5845	51.1977	10.5538
05:23:42	4.9083	51.2583	10.5557
05:23:47	5.2322	51.3189	10.5583
05:23:52	5.5560	51.3795	10.5605
05:23:57	5.8799	51.4402	10.5623
05:24:02	6.2037	51.5009	10.5647
05:24:07	6.5275	51.5617	10.5676
05:24:12	6.8513	51.6225	10.5683
05:24:17	7.1752	51.6834	10.5697
05:24:22	7.4990	51.7443	10.5708
05:24:27	7.8228	51.8053	10.5740
05:24:32	8.1466	51.8664	10.5769
05:24:37	8.4704	51.9275	10.5805
05:24:42	8.7942	51.9887	10.5827
05:24:47	9.1180	52.0500	10.5862
05:24:52	9.4418	52.1113	10.5904
05:24:57	9.7655	52.1727	10.5951
05:25:02	10.0893	52.2342	10.5984
05:25:07	10.4131	52.2958	10.6032
05:25:12	10.7368	52.3574	10.6068
05:25:17	11.0605	52.4192	10.6084
05:25:22	11.3843	52.4810	10.6104
05:25:27	11.7080	52.5429	10.6136
05:25:32	12.0317	52.6049	10.6184
05:25:37	12.3554	52.6671	10.6236
05:25:42	12.6791	52.7293	10.6283
05:25:47	13.0027	52.7916	10.6337
05:25:52	13.3264	52.8540	10.6395
05:25:57	13.6500	52.9166	10.6449
05:26:02	13.9737	52.9792	10.6507
05:26:07	14.2973	53.0420	10.6570
05:26:12	14.6209	53.1049	10.6629
05:26:17	14.9445	53.1679	10.6676
05:26:22	15.2681	53.2311	10.6711
05:26:27	15.5916	53.2943	10.6734
05:26:32	15.9152	53.3577	10.6794
05:26:37	16.2387	53.4213	10.6868
05:26:42	16.5622	53.4849	10.6937
05:26:47	16.8857	53.5488	10.7009
05:26:52	17.2092	53.6127	10.7079
05:26:57	17.5326	53.6769	10.7169
05:27:02	17.8561	53.7411	10.7239
05:27:07	18.1795	53.8056	10.7320
05:27:12	18.5029	53.8702	10.7406
05:27:17	18.8263	53.9349	10.7495
05:27:22	19.1496	53.9998	10.7539
05:27:27	19.4729	54.0649	10.7587
05:27:32	19.7963	54.1302	10.7631
16:51:26	20.0000	40.0512	169.2269
16:51:31	19.6767	40.1166	169.2320
16:51:36	19.3534	40.1818	169.2351
16:51:41	19.0300	40.2468	169.2436
16:51:46	18.7067	40.3117	169.2524
16:51:51	18.3833	40.3764	169.2608
16:51:56	18.0599	40.4409	169.2697
16:52:01	17.7364	40.5053	169.2772
16:52:06	17.4130	40.5695	169.2853
16:52:11	17.0895	40.6336	169.2930
16:52:16	16.7661	40.6975	169.3001
16:52:21	16.4426	40.7613	169.3077
16:52:26	16.1190	40.8249	169.3151
16:52:31	15.7955	40.8884	169.3184
16:52:36	15.4720	40.9517	169.3214
16:52:41	15.1484	41.0150	169.3250
16:52:46	14.8248	41.0781	169.3321
16:52:51	14.5012	41.1410	169.3379
16:52:56	14.1776	41.2039	169.3440
16:53:01	13.8540	41.2666	169.3498
16:53:06	13.5304	41.3292	169.3560
16:53:11	13.2067	41.3917	169.3615
16:53:16	12.8830	41.4541	169.3668
16:53:21	12.5594	41.5164	169.3725
16:53:26	12.2357	41.5786	169.3775
16:53:31	11.9120	41.6407	169.3821
16:53:36	11.5883	41.7026	169.3837
16:53:41	11.2645	41.7645	169.3858
16:53:46	10.9408	41.8263	169.3888
16:53:51	10.6171	41.8880	169.3932
16:53:56	10.2933	41.9497	169.3979
16:54:01	9.9696	42.0112	169.4020
16:54:06	9.6458	42.0727	169.4065
16:54:11	9.3220	42.1340	169.4098
16:54:16	8.9982	42.1953	169.4134
