2024/09/18 EARTHCARE
GMT	SUBLAT[N+]	SUBLON[W+]	HEADING
03:59:53	-0.8053	29.5988	10.5549
03:59:58	-0.4817	29.6591	10.5545
04:00:03	-0.1580	29.7194	10.5544
04:00:08	0.1653	29.7777	10.5540
04:00:13	0.4889	29.8380	10.5543
04:00:18	0.8126	29.8983	10.5543
04:00:23	1.1363	29.9586	10.5548
04:00:28	1.4600	30.0190	10.5551
04:00:33	1.7837	30.0793	10.5548
04:00:38	2.1074	30.1397	10.5553
04:00:43	2.4310	30.2000	10.5562
04:00:48	2.7547	30.2604	10.5569
04:00:53	3.0784	30.3208	10.5581
04:00:58	3.4021	30.3813	10.5590
04:01:03	3.7258	30.4417	10.5603
04:01:08	4.0495	30.5022	10.5624
04:01:13	4.3733	30.5628	10.5632
04:01:18	4.6970	30.6233	10.5653
04:01:23	5.0207	30.6839	10.5679
04:01:28	5.3444	30.7445	10.5694
04:01:33	5.6681	30.8052	10.5696
04:01:38	5.9918	30.8659	10.5696
04:01:43	6.3155	30.9267	10.5727
04:01:48	6.6391	30.9875	10.5747
04:01:53	6.9628	31.0484	10.5770
04:01:58	7.2865	31.1093	10.5800
04:02:03	7.6102	31.1703	10.5827
04:02:08	7.9339	31.2314	10.5857
04:02:13	8.2575	31.2925	10.5885
04:02:18	8.5812	31.3536	10.5928
04:02:23	8.9049	31.4149	10.5957
04:02:28	9.2285	31.4762	10.6000
04:02:33	9.5522	31.5376	10.6013
04:02:38	9.8758	31.5991	10.6032
04:02:43	10.1995	31.6606	10.6057
04:02:48	10.5231	31.7222	10.6087
04:02:53	10.8467	31.7840	10.6131
04:02:58	11.1703	31.8458	10.6179
04:03:03	11.4939	31.9076	10.6230
04:03:08	11.8175	31.9696	10.6270
04:03:13	12.1411	32.0317	10.6317
04:03:18	12.4646	32.0939	10.6366
04:03:23	12.7882	32.1562	10.6428
04:03:28	13.1118	32.2186	10.6481
04:03:33	13.4353	32.2811	10.6519
04:03:38	13.7588	32.3437	10.6548
04:03:43	14.0823	32.4064	10.6570
04:03:48	14.4058	32.4693	10.6624
04:03:53	14.7293	32.5322	10.6682
04:03:58	15.0528	32.5953	10.6745
04:04:03	15.3762	32.6585	10.6810
04:04:08	15.6997	32.7219	10.6881
04:04:13	16.0231	32.7854	10.6949
04:04:18	16.3465	32.8490	10.7020
04:04:23	16.6699	32.9128	10.7095
04:04:28	16.9933	32.9767	10.7166
04:04:33	17.3167	33.0407	10.7251
04:04:38	17.6400	33.1049	10.7289
04:04:43	17.9633	33.1693	10.7333
04:04:48	18.2866	33.2338	10.7363
04:04:53	18.6099	33.2985	10.7448
04:04:58	18.9332	33.3633	10.7534
04:05:03	19.2564	33.4284	10.7626
04:05:08	19.5797	33.4936	10.7713
04:05:13	19.9029	33.5589	10.7805
04:05:18	20.2261	33.6245	10.7899
04:05:23	20.5492	33.6902	10.7996
04:05:28	20.8724	33.7561	10.8098
04:05:33	21.1955	33.8222	10.8194
04:05:38	21.5186	33.8885	10.8287
04:05:43	21.8417	33.9551	10.8342
15:28:30	21.9475	19.0385	169.1610
15:28:35	21.6241	19.1051	169.1716
15:28:40	21.3007	19.1715	169.1823
15:28:45	20.9772	19.2378	169.1928
15:28:50	20.6538	19.3038	169.2021
15:28:55	20.3303	19.3696	169.2120
15:29:00	20.0068	19.4353	169.2215
15:29:05	19.6832	19.5008	169.2307
15:29:10	19.3596	19.5661	169.2362
15:29:15	19.0361	19.6312	169.2412
15:29:20	18.7125	19.6961	169.2450
15:29:25	18.3888	19.7609	169.2533
15:29:30	18.0652	19.8255	169.2613
15:29:35	17.7415	19.8900	169.2698
15:29:40	17.4178	19.9543	169.2778
15:29:45	17.0941	20.0184	169.2861
15:29:50	16.7704	20.0824	169.2932
15:29:55	16.4467	20.1463	169.3010
15:30:00	16.1229	20.2100	169.3081
15:30:05	15.7992	20.2736	169.3148
15:30:10	15.4754	20.3370	169.3211
15:30:15	15.1516	20.4003	169.3245
15:30:20	14.8278	20.4635	169.3272
15:30:25	14.5039	20.5265	169.3314
15:30:30	14.1801	20.5894	169.3376
15:30:35	13.8562	20.6522	169.3433
15:30:40	13.5324	20.7149	169.3495
15:30:45	13.2085	20.7775	169.3550
15:30:50	12.8846	20.8400	169.3601
15:30:55	12.5607	20.9024	169.3666
15:31:00	12.2368	20.9646	169.3716
15:31:05	11.9128	21.0268	169.3761
15:31:10	11.5889	21.0888	169.3810
15:31:15	11.2649	21.1508	169.3838
15:31:20	10.9410	21.2127	169.3861
15:31:25	10.6170	21.2744	169.3879
15:31:30	10.2930	21.3361	169.3918
15:31:35	9.9690	21.3978	169.3960
15:31:40	9.6450	21.4593	169.3996
15:31:45	9.3210	21.5208	169.4035
15:31:50	8.9970	21.5821	169.4071
15:31:55	8.6730	21.6434	169.4109
15:32:00	8.3490	21.7047	169.4150
15:32:05	8.0250	21.7659	169.4178
15:32:10	7.7009	21.8270	169.4211
15:32:15	7.3769	21.8880	169.4236
15:32:20	7.0528	21.9490	169.4249
15:32:25	6.7288	22.0099	169.4256
15:32:30	6.4047	22.0708	169.4276
15:32:35	6.0807	22.1316	169.4299
15:32:40	5.7566	22.1924	169.4324
15:32:45	5.4326	22.2531	169.4346
15:32:50	5.1085	22.3138	169.4360
15:32:55	4.7845	22.3745	169.4387
15:33:00	4.4604	22.4351	169.4400
15:33:05	4.1363	22.4957	169.4418
15:33:10	3.8123	22.5562	169.4438
15:33:15	3.4882	22.6167	169.4451
15:33:20	3.1641	22.6772	169.4452
15:33:25	2.8401	22.7377	169.4456
15:33:30	2.5160	22.7981	169.4462
15:33:35	2.1920	22.8585	169.4473
15:33:40	1.8679	22.9189	169.4486
15:33:45	1.5439	22.9793	169.4484
15:33:50	1.2198	23.0397	169.4497
15:33:55	0.8958	23.1001	169.4502
15:34:00	0.5717	23.1604	169.4502
15:34:05	0.2477	23.2208	169.4499
15:34:10	-0.0763	23.2811	169.4495
15:34:15	-0.4003	23.3415	169.4497
15:34:20	-0.7244	23.4018	169.4493
15:34:24	-0.9918	23.4516	323.2867
23:59:59	-999.00	-999.00	-999.00
