2024/07/30 EARTHCARE
   GMT      SUBLAT[W+]    SUBLON[N+]  HEADING
03:40:30	2.0000	24.7706	10.5478
03:40:50	3.2946	25.0120	10.5502
03:41:10	4.5892	25.2538	10.5545
03:41:30	5.8838	25.4962	10.5606
03:41:50	7.1783	25.7393	10.5685
03:42:10	8.4727	25.9833	10.5782
03:42:30	9.7671	26.2284	10.5901
03:42:50	11.0613	26.4748	10.6040
03:43:10	12.3554	26.7226	10.6197
03:43:30	13.6493	26.9721	10.6382
03:43:50	14.9429	27.2233	10.6589
03:44:10	16.2363	27.4766	10.6814
03:44:30	17.5295	27.7321	10.7071
03:44:50	18.8223	27.9901	10.7358
03:45:10	20.1149	28.2507	10.7663
03:45:30	21.4070	28.5143	10.8022
23:59:59 -999.00 -999.00  -999.00
