2024/11/10 EARTHCARE
GMT	SUBLAT[N+]	SUBLON[W+]	HEADING
00:00:48	35.2583	-24.8506	11.4750
00:00:53	35.5800	-24.7704	11.4940
00:00:58	35.9016	-24.6898	11.5105
00:01:03	36.2232	-24.6086	11.5278
00:01:08	36.5448	-24.5270	11.5539
00:01:13	36.8663	-24.4449	11.5797
00:01:18	37.1877	-24.3622	11.6066
00:01:23	37.5091	-24.2790	11.6340
00:01:28	37.8305	-24.1953	11.6619
00:01:33	38.1518	-24.1111	11.6899
00:01:38	38.4730	-24.0263	11.7190
00:01:43	38.7942	-23.9409	11.7487
00:01:48	39.1153	-23.8549	11.7784
00:01:53	39.4364	-23.7684	11.8072
00:01:58	39.7574	-23.6812	11.8294
00:02:03	40.0784	-23.5934	11.8520
00:02:08	40.3993	-23.5050	11.8802
00:02:13	40.7201	-23.4160	11.9132
00:02:18	41.0409	-23.3263	11.9471
00:02:23	41.3616	-23.2359	11.9808
00:02:28	41.6823	-23.1448	12.0168
00:02:33	42.0029	-23.0531	12.0520
00:02:38	42.3234	-22.9606	12.0886
00:02:43	42.6439	-22.8674	12.1257
00:02:48	42.9643	-22.7734	12.1642
00:02:53	43.2846	-22.6787	12.2018
00:02:58	43.6049	-22.5832	12.2350
00:03:03	43.9251	-22.4869	12.2658
00:03:08	44.2452	-22.3898	12.2968
00:03:13	44.5653	-22.2919	12.3381
00:03:18	44.8852	-22.1932	12.3806
00:03:23	45.2051	-22.0935	12.4248
00:03:28	45.5250	-21.9930	12.4684
00:03:33	45.8447	-21.8916	12.5139
00:03:38	46.1644	-21.7892	12.5600
00:03:43	46.4840	-21.6859	12.6072
00:03:48	46.8035	-21.5817	12.6549
00:03:53	47.1230	-21.4764	12.7044
00:03:58	47.4423	-21.3701	12.7529
00:04:03	47.7616	-21.2628	12.7933
00:04:08	48.0808	-21.1544	12.8346
00:04:13	48.3998	-21.0449	12.8818
00:04:18	48.7189	-20.9344	12.9362
00:04:23	49.0378	-20.8226	12.9914
00:04:28	49.3566	-20.7098	13.0480
00:04:33	49.6753	-20.5957	13.1059
00:04:38	49.9939	-20.4804	13.1645
00:04:43	50.3125	-20.3638	13.2242
00:04:48	50.6309	-20.2460	13.2857
00:04:53	50.9493	-20.1268	13.3484
00:04:58	51.2675	-20.0063	13.4129
00:05:03	51.5856	-19.8844	13.4715
00:05:08	51.9036	-19.7611	13.5271
00:05:13	52.2215	-19.6363	13.5841
00:05:18	52.5393	-19.5100	13.6528
00:05:23	52.8570	-19.3823	13.7242
00:05:28	53.1746	-19.2529	13.7967
00:05:33	53.4920	-19.1219	13.8712
00:05:38	53.8093	-18.9893	13.9472
00:05:43	54.1265	-18.8550	14.0246
00:05:48	54.4436	-18.7189	14.1043
00:05:53	54.7605	-18.5811	14.1855
00:05:58	55.0773	-18.4414	14.2684
00:06:03	55.3940	-18.2998	14.3527
00:06:08	55.7105	-18.1562	14.4278
00:06:13	56.0269	-18.0107	14.5048
00:06:18	56.3431	-17.8631	14.5879
00:06:23	56.6592	-17.7134	14.6806
00:06:28	56.9752	-17.5616	14.7760
00:06:33	57.2909	-17.4075	14.8728
00:06:38	57.6065	-17.2511	14.9727
00:06:43	57.9220	-17.0923	15.0741
00:06:48	58.2373	-16.9311	15.1789
00:06:53	58.5524	-16.7674	15.2853
00:06:58	58.8673	-16.6011	15.3947
00:07:03	59.1820	-16.4322	15.5070
00:07:08	59.4966	-16.2605	15.6156
00:07:13	59.8109	-16.0859	15.7210
00:07:18	60.1251	-15.9085	15.8288
00:07:23	60.4390	-15.7280	15.9497
00:07:28	60.7528	-15.5445	16.0765
00:07:33	61.0663	-15.3577	16.2062
00:07:38	61.3796	-15.1677	16.3389
00:07:43	61.6926	-14.9742	16.4756
00:07:48	62.0055	-14.7772	16.6155
00:07:53	62.3181	-14.5765	16.7593
00:07:58	62.6304	-14.3721	16.9062
00:08:03	62.9424	-14.1638	17.0574
00:08:08	63.2542	-13.9514	17.2122
00:08:13	63.5657	-13.7349	17.3599
00:08:18	63.8770	-13.5141	17.5107
00:08:23	64.1879	-13.2887	17.6692
00:08:28	64.4985	-13.0588	17.8417
00:08:33	64.8088	-12.8241	18.0191
00:08:38	65.1188	-12.5844	18.2016
00:08:43	65.4284	-12.3396	18.3891
00:08:48	65.7377	-12.0894	18.5822
00:08:53	66.0466	-11.8337	18.7807
00:08:58	66.3552	-11.5722	18.9846
00:09:03	66.6633	-11.3047	19.1953
00:09:08	66.9710	-11.0310	19.4110
00:09:13	67.2783	-10.7509	19.6287
00:09:18	67.5852	-10.4640	19.8449
00:09:23	67.8916	-10.1702	20.0679
00:09:28	68.1975	-9.8691	20.3081
00:09:33	68.5029	-9.5604	20.5589
00:09:38	68.8078	-9.2439	20.8187
00:09:43	69.1122	-8.9192	21.0857
00:09:48	69.4159	-8.5859	21.3616
00:09:53	69.7192	-8.2436	21.6461
00:09:58	70.0217	-7.8921	21.9401
00:10:03	70.3237	-7.5308	22.2438
00:10:08	70.6250	-7.1594	22.5577
00:10:13	70.9255	-6.7773	22.8824
00:10:18	71.2254	-6.3841	23.2062
00:10:23	71.5244	-5.9793	23.5401
00:10:28	71.8227	-5.5624	23.8882
00:10:33	72.1201	-5.1328	24.2601
00:10:38	72.4166	-4.6898	24.6453
00:10:43	72.7122	-4.2328	25.0447
00:10:48	73.0068	-3.7612	25.4587
00:10:53	73.3003	-3.2742	25.8881
00:10:58	73.5928	-2.7711	26.3335
00:11:03	73.8841	-2.2509	26.7958
00:11:08	74.1742	-1.7129	27.2763
00:11:13	74.4630	-1.1562	27.7750
00:11:18	74.7505	-0.5798	28.2893
00:11:23	75.0366	0.0175	28.8152
00:11:28	75.3211	0.6366	29.3626
00:11:33	75.6041	1.2787	29.9424
00:11:38	75.8853	1.9451	30.5505
00:11:43	76.1648	2.6370	31.1847
00:11:48	76.4423	3.3560	31.8460
00:11:53	76.7178	4.1035	32.5360
00:11:58	76.9912	4.8811	33.2554
00:12:03	77.2623	5.6905	34.0074
00:12:08	77.5309	6.5334	34.7920
00:12:13	77.7970	7.4117	35.6129
00:12:18	78.0602	8.3274	36.4708
00:12:23	78.3205	9.2826	37.3574
00:12:28	78.5777	10.2796	38.2823
00:12:33	78.8314	11.3206	39.2525
00:12:38	79.0816	12.4080	40.2822
00:12:43	79.3279	13.5443	41.3610
00:12:48	79.5700	14.7323	42.4912
00:12:53	79.8077	15.9746	43.6754
00:12:58	80.0001	17.0411	201.7035
01:33:21	35.2583	-1.7164	11.4751
01:33:26	35.5800	-1.6362	11.4932
01:33:31	35.9017	-1.5555	11.5105
01:33:36	36.2233	-1.4744	11.5280
01:33:41	36.5448	-1.3928	11.5540
01:33:46	36.8663	-1.3106	11.5797
01:33:51	37.1878	-1.2280	11.6066
01:33:56	37.5092	-1.1448	11.6335
01:34:01	37.8305	-1.0611	11.6619
01:34:06	38.1518	-0.9768	11.6899
01:34:11	38.4731	-0.8920	11.7184
01:34:16	38.7943	-0.8066	11.7480
01:34:21	39.1154	-0.7207	11.7784
01:34:26	39.4365	-0.6341	11.8072
01:34:31	39.7575	-0.5470	11.8294
01:34:36	40.0784	-0.4592	11.8522
01:34:41	40.3993	-0.3708	11.8804
01:34:46	40.7202	-0.2817	11.9134
01:34:51	41.0410	-0.1920	11.9470
01:34:56	41.3617	-0.1017	11.9815
01:35:01	41.6823	-0.0106	12.0161
01:35:06	42.0029	0.0812	12.0520
01:35:11	42.3235	0.1736	12.0886
01:35:16	42.6439	0.2668	12.1253
01:35:21	42.9643	0.3608	12.1642
01:35:26	43.2847	0.4555	12.2026
01:35:31	43.6049	0.5510	12.2350
01:35:36	43.9251	0.6473	12.2656
01:35:41	44.2452	0.7444	12.2961
01:35:46	44.5653	0.8423	12.3381
01:35:51	44.8853	0.9411	12.3808
01:35:56	45.2052	1.0407	12.4242
01:36:01	45.5250	1.1412	12.4684
01:36:06	45.8447	1.2426	12.5141
01:36:11	46.1644	1.3450	12.5598
01:36:16	46.4840	1.4483	12.6064
01:36:21	46.8035	1.5526	12.6549
01:36:26	47.1230	1.6578	12.7040
01:36:31	47.4423	1.7641	12.7525
01:36:36	47.7616	1.8714	12.7933
01:36:41	48.0808	1.9798	12.8348
01:36:46	48.3999	2.0893	12.8818
01:36:51	48.7189	2.1999	12.9362
