2024/08/30 EARTHCARE
GMT	SUBLAT[N+]	SUBLON[W+]	HEADING
03:27:02	-0.7539	21.2836	10.5525
03:27:07	-0.4303	21.3439	10.5520
03:27:12	-0.1068	21.4042	10.5530
03:27:17	0.2297	21.4657	10.5525
03:27:22	0.5533	21.5260	10.5519
03:27:27	0.8769	21.5863	10.5518
03:27:32	1.2006	21.6466	10.5514
03:27:37	1.5242	21.7069	10.5525
03:27:42	1.8479	21.7672	10.5523
03:27:47	2.1715	21.8275	10.5536
03:27:52	2.4952	21.8879	10.5546
03:27:57	2.8188	21.9482	10.5552
03:28:02	3.1425	22.0086	10.5565
03:28:07	3.4661	22.0691	10.5581
03:28:12	3.7898	22.1295	10.5586
03:28:17	4.1135	22.1900	10.5606
03:28:22	4.4371	22.2505	10.5623
03:28:27	4.7608	22.3110	10.5625
03:28:32	5.0844	22.3716	10.5634
03:28:37	5.4080	22.4322	10.5649
03:28:42	5.7317	22.4929	10.5670
03:28:47	6.0553	22.5536	10.5686
03:28:52	6.3790	22.6144	10.5710
03:28:57	6.7026	22.6752	10.5737
03:29:02	7.0262	22.7360	10.5768
03:29:07	7.3498	22.7969	10.5799
03:29:12	7.6735	22.8579	10.5824
03:29:17	7.9971	22.9189	10.5855
03:29:22	8.3207	22.9800	10.5891
03:29:27	8.6443	23.0412	10.5914
03:29:32	8.9679	23.1024	10.5926
03:29:37	9.2914	23.1638	10.5936
03:29:42	9.6150	23.2251	10.5968
03:29:47	9.9386	23.2866	10.6011
03:29:52	10.2621	23.3481	10.6052
03:29:57	10.5857	23.4097	10.6092
03:30:02	10.9092	23.4714	10.6133
03:30:07	11.2328	23.5332	10.6188
03:30:12	11.5563	23.5951	10.6225
03:30:17	11.8798	23.6571	10.6274
03:30:22	12.2033	23.7192	10.6327
03:30:27	12.5268	23.7814	10.6378
03:30:32	12.8502	23.8436	10.6398
03:30:37	13.1737	23.9060	10.6423
03:30:42	13.4971	23.9685	10.6463
03:30:47	13.8206	24.0311	10.6516
03:30:52	14.1440	24.0938	10.6573
03:30:57	14.4674	24.1567	10.6634
03:31:02	14.7908	24.2196	10.6691
03:31:07	15.1142	24.2827	10.6762
03:31:12	15.4375	24.3459	10.6829
03:31:17	15.7609	24.4093	10.6899
03:31:22	16.0842	24.4728	10.6966
03:31:27	16.4075	24.5364	10.7038
03:31:32	16.7308	24.6001	10.7088
03:31:37	17.0541	24.6641	10.7125
03:31:42	17.3773	24.7281	10.7159
03:31:47	17.7006	24.7923	10.7232
03:31:52	18.0238	24.8567	10.7306
03:31:57	18.3470	24.9212	10.7396
03:32:02	18.6702	24.9859	10.7477
03:32:07	18.9933	25.0507	10.7564
03:32:12	19.3165	25.1157	10.7649
03:32:17	19.6396	25.1809	10.7735
03:32:22	19.9627	25.2463	10.7833
03:32:27	20.2857	25.3118	10.7928
03:32:32	20.6088	25.3776	10.8024
03:32:37	20.9318	25.4435	10.8080
03:32:42	21.2548	25.5096	10.8119
03:32:47	21.5778	25.5759	10.8188
03:32:52	21.9008	25.6424	10.8291
04:59:33	-0.8833	44.3957	10.5530
04:59:38	-0.5597	44.4560	10.5527
04:59:43	-0.2362	44.5163	10.5530
04:59:48	0.1002	44.5789	10.5516
04:59:53	0.4238	44.6392	10.5520
04:59:58	0.7475	44.6995	10.5520
05:00:03	1.0711	44.7598	10.5527
05:00:08	1.3948	44.8201	10.5523
05:00:13	1.7184	44.8804	10.5530
05:00:18	2.0421	44.9407	10.5536
05:00:23	2.3657	45.0010	10.5547
05:00:28	2.6894	45.0614	10.5545
05:00:33	3.0131	45.1218	10.5549
05:00:38	3.3367	45.1822	10.5568
05:00:43	3.6604	45.2426	10.5575
05:00:48	3.9840	45.3031	10.5587
05:00:53	4.3077	45.3636	10.5604
05:00:58	4.6313	45.4241	10.5617
