2024/08/19 EARTHCARE
   GMT      SUBLAT[W+]    SUBLON[N+]  HEADING
03:41:24	2.6475	25.2231	10.5519
03:41:44	3.9424	25.4648	10.5551
03:42:04	5.2374	25.7070	10.5603
03:42:24	6.5323	25.9499	10.5674
03:42:44	7.8272	26.1936	10.5761
03:43:04	9.1220	26.4383	10.5870
03:43:24	10.4166	26.6842	10.6000
03:43:44	11.7111	26.9314	10.6146
03:44:04	13.0055	27.1802	10.6319
03:44:24	14.2996	27.4306	10.6515
03:44:44	15.5935	27.6830	10.6728
03:45:04	16.8872	27.9376	10.6972
03:45:24	18.1806	28.1944	10.7245
03:45:44	19.4736	28.4539	10.7540
03:46:04	20.7664	28.7161	10.7867
03:46:23	22.0000	28.9693	270.8479
23:59:59 -999.00 -999.00  -999.00
