2024/09/06 EARTHCARE
GMT	SUBLAT[N+]	SUBLON[W+]	HEADING
03:32:36	-4.7988	22.2170	10.5672
03:32:41	-4.4753	22.2776	10.5656
03:32:46	-4.1518	22.3381	10.5646
03:32:51	-3.8282	22.3985	10.5623
03:32:56	-3.5047	22.4590	10.5606
03:33:01	-3.1811	22.5194	10.5593
03:33:06	-2.8575	22.5798	10.5579
03:33:11	-2.5340	22.6402	10.5568
03:33:16	-2.2104	22.7005	10.5556
03:33:21	-1.8868	22.7609	10.5557
03:33:26	-1.5632	22.8212	10.5547
03:33:31	-1.2396	22.8815	10.5540
03:33:36	-0.9160	22.9418	10.5540
03:33:41	-0.5924	23.0021	10.5537
03:33:46	-0.2688	23.0624	10.5529
03:33:51	0.0475	23.1215	10.5531
03:33:56	0.3711	23.1818	10.5527
03:34:01	0.6947	23.2421	10.5536
03:34:06	1.0183	23.3024	10.5536
03:34:11	1.3420	23.3627	10.5547
03:34:16	1.6656	23.4230	10.5548
03:34:21	1.9892	23.4834	10.5553
03:34:26	2.3129	23.5437	10.5556
03:34:31	2.6365	23.6041	10.5573
03:34:36	2.9602	23.6645	10.5578
03:34:41	3.2838	23.7249	10.5580
03:34:46	3.6074	23.7853	10.5578
03:34:51	3.9311	23.8458	10.5599
03:34:56	4.2547	23.9063	10.5616
03:35:01	4.5784	23.9668	10.5621
03:35:06	4.9020	24.0274	10.5651
03:35:11	5.2256	24.0880	10.5666
03:35:16	5.5493	24.1486	10.5679
03:35:21	5.8729	24.2093	10.5706
03:35:26	6.1965	24.2701	10.5731
03:35:31	6.5202	24.3309	10.5759
03:35:36	6.8438	24.3917	10.5769
03:35:41	7.1674	24.4526	10.5783
03:35:46	7.4910	24.5135	10.5792
03:35:51	7.8146	24.5745	10.5816
03:35:56	8.1382	24.6356	10.5854
03:36:01	8.4618	24.6967	10.5890
03:36:06	8.7854	24.7579	10.5920
03:36:11	9.1090	24.8192	10.5957
03:36:16	9.4326	24.8805	10.5990
03:36:21	9.7561	24.9420	10.6037
03:36:26	10.0797	25.0035	10.6071
03:36:31	10.4032	25.0650	10.6110
