2024/10/02 EARTHCARE
GMT	SUBLAT[N+]	SUBLON[W+]	HEADING
02:43:32	-0.8701	10.5881	10.5541
02:43:37	-0.5463	10.6484	10.5536
02:43:42	-0.2224	10.7087	10.5537
02:43:47	0.1011	10.7643	10.5536
02:43:52	0.4249	10.8246	10.5531
02:43:57	0.7487	10.8849	10.5540
02:44:02	1.0726	10.9453	10.5537
02:44:07	1.3964	11.0056	10.5541
02:44:12	1.7202	11.0660	10.5548
02:44:17	2.0441	11.1264	10.5561
02:44:22	2.3679	11.1867	10.5563
02:44:27	2.6918	11.2472	10.5552
02:44:32	3.0156	11.3076	10.5565
02:44:37	3.3395	11.3680	10.5583
02:44:42	3.6633	11.4285	10.5598
02:44:47	3.9872	11.4890	10.5601
02:44:52	4.3110	11.5496	10.5620
02:44:57	4.6349	11.6102	10.5641
02:45:02	4.9587	11.6708	10.5660
02:45:07	5.2825	11.7314	10.5675
02:45:12	5.6064	11.7921	10.5697
02:45:17	5.9302	11.8528	10.5724
02:45:22	6.2541	11.9136	10.5737
02:45:27	6.5779	11.9745	10.5739
02:45:32	6.9017	12.0354	10.5747
02:45:37	7.2256	12.0963	10.5786
02:45:42	7.5494	12.1573	10.5804
02:45:47	7.8732	12.2183	10.5845
02:45:52	8.1970	12.2795	10.5865
02:45:57	8.5208	12.3407	10.5900
02:46:02	8.8446	12.4019	10.5938
02:46:07	9.1684	12.4632	10.5973
02:46:12	9.4922	12.5246	10.6005
02:46:17	9.8160	12.5861	10.6052
02:46:22	10.1398	12.6477	10.6084
02:46:27	10.4635	12.7093	10.6106
02:46:32	10.7873	12.7710	10.6123
02:46:37	11.1110	12.8328	10.6155
02:46:42	11.4348	12.8947	10.6200
02:46:47	11.7585	12.9567	10.6241
02:46:52	12.0822	13.0188	10.6295
02:46:57	12.4059	13.0810	10.6339
02:47:02	12.7296	13.1433	10.6394
02:47:07	13.0533	13.2057	10.6447
02:47:12	13.3769	13.2682	10.6503
02:47:17	13.7006	13.3308	10.6565
02:47:22	14.0242	13.3935	10.6623
02:47:27	14.3479	13.4564	10.6659
02:47:32	14.6715	13.5194	10.6685
02:47:37	14.9951	13.5824	10.6715
02:47:42	15.3187	13.6457	10.6782
02:47:47	15.6422	13.7090	10.6845
02:47:52	15.9658	13.7725	10.6913
02:47:57	16.2893	13.8361	10.6984
02:48:02	16.6128	13.8999	10.7053
02:48:07	16.9363	13.9638	10.7133
02:48:12	17.2598	14.0278	10.7210
02:48:17	17.5833	14.0920	10.7281
02:48:22	17.9067	14.1564	10.7368
02:48:27	18.2302	14.2209	10.7449
02:48:32	18.5536	14.2856	10.7483
02:48:37	18.8770	14.3504	10.7523
02:48:42	19.2004	14.4154	10.7582
02:48:47	19.5237	14.4806	10.7672
02:48:52	19.8470	14.5460	10.7761
02:48:57	20.1703	14.6115	10.7857
02:49:02	20.4936	14.6772	10.7949
02:49:07	20.8169	14.7431	10.8050
02:49:12	21.1401	14.8092	10.8149
02:49:17	21.4633	14.8755	10.8248
02:49:22	21.7865	14.9420	10.8353
04:16:03	-1.0003	33.6998	10.5548
04:16:08	-0.6765	33.7601	10.5535
04:16:13	-0.3527	33.8205	10.5538
04:16:18	-0.0289	33.8808	7.1713
04:16:23	0.2954	33.9373	10.5540
04:16:28	0.6192	33.9976	10.5533
04:16:33	0.9430	34.0579	10.5531
04:16:38	1.2669	34.1183	10.5536
04:16:43	1.5907	34.1786	10.5545
04:16:48	1.9145	34.2390	10.5542
04:16:53	2.2384	34.2994	10.5554
04:16:58	2.5622	34.3598	10.5563
04:17:03	2.8861	34.4202	10.5578
04:17:08	3.2099	34.4807	10.5587
04:17:13	3.5338	34.5411	10.5605
04:17:18	3.8577	34.6016	10.5609
04:17:23	4.1815	34.6622	10.5608
04:17:28	4.5054	34.7227	10.5615
04:17:33	4.8292	34.7833	10.5636
04:17:38	5.1531	34.8440	10.5661
04:17:43	5.4769	34.9046	10.5676
04:17:48	5.8008	34.9654	10.5694
04:17:53	6.1246	35.0261	10.5717
04:17:58	6.4484	35.0869	10.5749
04:18:03	6.7723	35.1478	10.5765
04:18:08	7.0961	35.2087	10.5797
04:18:13	7.4199	35.2697	10.5825
04:18:18	7.7438	35.3307	10.5850
04:18:23	8.0676	35.3918	10.5863
04:18:28	8.3914	35.4530	10.5872
04:18:33	8.7152	35.5142	10.5903
04:18:38	9.0390	35.5755	10.5933
04:18:43	9.3628	35.6369	10.5965
04:18:48	9.6866	35.6983	10.6011
04:18:53	10.0104	35.7599	10.6049
04:18:58	10.3341	35.8215	10.6087
04:19:03	10.6579	35.8832	10.6133
04:19:08	10.9816	35.9449	10.6183
04:19:13	11.3054	36.0068	10.6229
04:19:18	11.6291	36.0687	10.6272
04:19:23	11.9528	36.1308	10.6294
04:19:28	12.2765	36.1929	10.6321
04:19:33	12.6002	36.2552	10.6337
04:19:38	12.9239	36.3176	10.6397
04:19:43	13.2476	36.3800	10.6448
04:19:48	13.5713	36.4426	10.6511
04:19:53	13.8949	36.5053	10.6561
04:19:58	14.2186	36.5681	10.6625
04:20:03	14.5422	36.6310	10.6685
04:20:08	14.8658	36.6940	10.6750
04:20:13	15.1894	36.7572	10.6810
04:20:18	15.5130	36.8205	10.6875
04:20:23	15.8365	36.8839	10.6936
04:20:28	16.1601	36.9475	10.6960
04:20:33	16.4836	37.0112	10.7004
04:20:38	16.8071	37.0750	10.7054
04:20:43	17.1306	37.1390	10.7133
04:20:48	17.4541	37.2032	10.7206
04:20:53	17.7776	37.2675	10.7285
04:20:58	18.1010	37.3319	10.7367
04:21:03	18.4244	37.3965	10.7454
04:21:08	18.7478	37.4613	10.7534
04:21:13	19.0712	37.5263	10.7621
04:21:18	19.3946	37.5914	10.7710
04:21:23	19.7179	37.6567	10.7803
04:21:28	20.0412	37.7221	10.7859
04:21:33	20.3645	37.7878	10.7913
04:21:38	20.6878	37.8536	10.7960
04:21:43	21.0111	37.9196	10.8052
04:21:48	21.3343	37.9859	10.8154
04:21:53	21.6575	38.0523	10.8254
04:21:58	21.9807	38.1189	10.8368
05:48:39	-0.8021	56.8736	10.5539
05:48:44	-0.4783	56.9339	10.5544
05:48:49	-0.1545	56.9942	10.5538
05:48:54	0.1658	57.0511	10.5534
05:48:59	0.4896	57.1114	10.5537
05:49:04	0.8135	57.1718	10.5545
05:49:09	1.1373	57.2321	10.5533
05:49:14	1.4612	57.2925	10.5544
05:49:19	1.7850	57.3528	10.5550
05:49:24	2.1088	57.4132	10.5546
05:49:29	2.4327	57.4736	10.5557
05:49:34	2.7565	57.5340	10.5562
05:49:39	3.0804	57.5944	10.5574
05:49:44	3.4043	57.6549	10.5583
05:49:49	3.7281	57.7154	10.5598
05:49:54	4.0520	57.7759	10.5619
05:49:59	4.3758	57.8365	10.5624
05:50:04	4.6997	57.8970	10.5647
05:50:09	5.0235	57.9577	10.5665
05:50:14	5.3474	58.0183	10.5679
05:50:19	5.6712	58.0790	10.5692
05:50:24	5.9951	58.1398	10.5691
05:50:29	6.3189	58.2006	10.5713
05:50:34	6.6427	58.2614	10.5741
05:50:39	6.9666	58.3223	10.5767
05:50:44	7.2904	58.3833	10.5795
05:50:49	7.6142	58.4443	10.5821
05:50:54	7.9381	58.5053	10.5860
05:50:59	8.2619	58.5665	10.5888
05:51:04	8.5857	58.6277	10.5922
05:51:09	8.9095	58.6890	10.5952
05:51:14	9.2333	58.7503	10.5994
05:51:19	9.5571	58.8117	10.6008
05:51:24	9.8809	58.8732	10.6019
05:51:29	10.2046	58.9348	10.6043
05:51:34	10.5284	58.9964	10.6091
