2024/09/05 EARTHCARE
GMT	SUBLAT[N+]	SUBLON[W+]	HEADING
15:54:07	22.0000	25.3597	169.1601
15:54:12	21.6765	25.4264	169.1712
15:54:17	21.3530	25.4928	169.1818
15:54:22	21.0295	25.5591	169.1924
15:54:27	20.7060	25.6252	169.2024
15:54:32	20.3824	25.6910	169.2114
15:54:37	20.0588	25.7567	169.2208
15:54:42	19.7352	25.8222	169.2306
15:54:47	19.4116	25.8876	169.2376
15:54:52	19.0879	25.9527	169.2419
15:54:57	18.7643	26.0177	169.2466
15:55:02	18.4406	26.0825	169.2532
15:55:07	18.1168	26.1471	169.2620
15:55:12	17.7931	26.2116	169.2703
15:55:17	17.4693	26.2760	169.2783
15:55:22	17.1456	26.3401	169.2859
15:55:27	16.8218	26.4042	169.2937
15:55:32	16.4979	26.4681	169.3005
15:55:37	16.1741	26.5318	169.3077
15:55:42	15.8503	26.5954	169.3151
15:55:47	15.5264	26.6589	169.3221
15:55:52	15.2025	26.7222	169.3248
15:55:57	14.8786	26.7854	169.3285
15:56:02	14.5547	26.8485	169.3317
15:56:07	14.2308	26.9114	169.3385
15:56:12	13.9068	26.9743	169.3442
15:56:17	13.5829	27.0370	169.3503
15:56:22	13.2589	27.0996	169.3559
15:56:27	12.9349	27.1621	169.3617
15:56:32	12.6109	27.2245	169.3665
15:56:37	12.2869	27.2867	169.3722
15:56:42	11.9629	27.3489	169.3769
15:56:47	11.6389	27.4110	169.3817
15:56:52	11.3148	27.4730	169.3853
15:56:57	10.9908	27.5349	169.3867
15:57:02	10.6667	27.5967	169.3893
15:57:07	10.3426	27.6584	169.3922
15:57:12	10.0185	27.7200	169.3972
15:57:17	9.6945	27.7816	169.4017
15:57:22	9.3704	27.8431	169.4048
15:57:27	9.0462	27.9045	169.4083
15:57:32	8.7221	27.9658	169.4120
15:57:37	8.3980	28.0271	169.4163
15:57:42	8.0739	28.0882	169.4190
15:57:47	7.7497	28.1494	169.4230
15:57:52	7.4256	28.2104	169.4247
15:57:57	7.1014	28.2714	169.4268
15:58:02	6.7773	28.3324	169.4276
15:58:07	6.4531	28.3933	169.4285
15:58:12	6.1290	28.4541	169.4316
15:58:17	5.8048	28.5149	169.4342
15:58:22	5.4806	28.5757	169.4363
15:58:27	5.1565	28.6364	169.4378
15:58:32	4.8323	28.6970	169.4404
15:58:37	4.5081	28.7577	169.4418
15:58:42	4.1840	28.8183	169.4434
15:58:47	3.8598	28.8788	169.4453
15:58:52	3.5356	28.9393	169.4469
15:58:57	3.2114	28.9998	169.4476
15:59:02	2.8873	29.0603	169.4480
15:59:07	2.5631	29.1208	169.4487
15:59:12	2.2389	29.1812	169.4487
15:59:17	1.9147	29.2416	169.4501
15:59:22	1.5906	29.3020	169.4509
15:59:27	1.2664	29.3624	169.4511
15:59:32	0.9422	29.4228	169.4517
15:59:37	0.6181	29.4831	169.4524
15:59:42	0.2939	29.5435	169.4520
15:59:47	-0.0302	29.6039	169.4526
15:59:52	-0.3544	29.6642	169.4520
15:59:57	-0.6785	29.7246	169.4515
16:00:02	-1.0000	29.7845	270.0471
23:59:59	-999.00	-999.00	-999.00
